name,credit,department,language,charge
Master Project: Distributed Systems,9, 34331500 FG Distributed and Operating Systems (DOS),en,"Kao, Odej"
Master Project and Seminar Software Engineering of Embedded Systems,9,34351800 FG Software and Embedded Systems Engineering (SESE),de,"Glesner, Sabine"
Master Project Network Information Systems,9,34331800 FG Netzwerk- und Informationstheorie,en,"Stanczak, Slawomir"
Master Project Software Engineering of Embedded Systems,9,34351800 FG Software and Embedded Systems Engineering (SESE),de,"Glesner, Sabine"
Masterprojekt: Large Scale Data Integration,9,34353400 FG Data Integration and Data Preparation,en,"Abedjan, Ziawasch"
Masterprojekt Batterien,6,34312100 FG Elektrische Energiespeichertechnik (EET),de,"Kowal, Julia"
Master Seminar: Operating Complex IT Systems,3, 34331500 FG Distributed and Operating Systems (DOS),en,"Kao, Odej"
Master Seminar: Selected Topics in Robot Learning,3,34342100 FG Intelligent Systems,en,"Toussaint, Marc"
Master Thesis,20,34351300 FG Neuronale Informationsverarbeitung,en,"Obermayer, Klaus"
Master Thesis ICT Innovation,30,Fakultät IV,en,"Küpper, Axel"
Master’s Thesis Colloquium in Data Management Systems,3,34351500 FG Datenbanksysteme und Informationsmanagement (DIMA),en,"Markl, Volker"
