name,credit,department,language,charge
DW Data Warehousing and Business Intelligence,6,34351500 FG Datenbanksysteme und Informationsmanagement (DIMA),en,"Markl, Volker"
EDML - Engineering Data for Machine Learning,6,34353500 FG Management von Data Science-Prozessen,en,"Schelter, Sebastian"
Einführung in die Automobilelektronik,6,34311600 FG Elektronische Mess- und Diagnosetechnik,de,"Gühmann, Clemens"
Einführung in die Informatik,6,34351300 FG Neuronale Informationsverarbeitung,de,"Obermayer, Klaus"
Einführung in die Informatik - Vertiefung,6,34351300 FG Neuronale Informationsverarbeitung,de,"Obermayer, Klaus"
Einführung in die IT-Sicherheit,3,34355100 FG S-Professur Security in Telecommunications (SecT),de,"Seifert, Jean-Pierre"
Einführung in die Künstliche Intelligenz,6,34342100 FG Intelligent Systems,de,"Toussaint, Marc"
Einführung in die Lichttechnik,6,34311500 FG Lichttechnik,de,"Völker, Stephan"
Einführung in die Medieninformatik,6,34355300 FG S-Professur Quality and Usability,de,"Möller, Sebastian"
Einführung in die numerische Feldberechnung,6,34321600 FG Theoretische Elektrotechnik,de,"Schuhmann, Rolf"
Einführung in die Programmierung,6,34332300 FG Open Distributed Systems (ODS),de,"Hauswirth, Manfred"
Einführung in die Programmierung mit Java,6,34361700 FG Scalable Software Systems,de,"Bermbach, David"
Einführung in die Steuerung und Regelung von Kfz-Antriebssträngen,6,34311600 FG Elektronische Mess- und Diagnosetechnik,de,"Gühmann, Clemens"
Einführung Photovoltaik,6,34325400 FG S-Professur Photovoltaik,,"Rech, Bernd"
Electric Energy Networks,12,34312000 FG Energieversorgungsnetze und Integration Erneuerbarer Energien (SENSE),en,"Strunz, Kai"
Elektrische Antriebe,6,34311100 FG Elektrische Antriebstechnik (EA),de,"Schäfer, Uwe"
Elektrische Antriebe für Straßenfahrzeuge,6,34311100 FG Elektrische Antriebstechnik (EA),de,"Schäfer, Uwe"
Elektrische Antriebe II,6,34311100 FG Elektrische Antriebstechnik (EA),de,"Schäfer, Uwe"
Elektrische Energiesysteme,6,34311100 FG Elektrische Antriebstechnik (EA),de,"Kowal, Julia"
Elektrische Isolierstoffe,3,34311300 FG Hochspannungstechnik,de,"Plath, Ronald"
Elektrische Maschinen,6,34311100 FG Elektrische Antriebstechnik (EA),de,"Schäfer, Uwe"
Elektrische Maschinen II,6,34311100 FG Elektrische Antriebstechnik (EA),de,"Schäfer, Uwe"
Elektrische Netzwerke,6,34312000 FG Energieversorgungsnetze und Integration Erneuerbarer Energien (SENSE),de,"Strunz, Kai"
Elektromagnetische Felder,6,34321600 FG Theoretische Elektrotechnik,de,"Schuhmann, Rolf"
Elektromagnetische Feldsimulation,6,34321600 FG Theoretische Elektrotechnik,de,"Schuhmann, Rolf"
